"","First","Last","Nickname","Ht.","Wt.","Reach","Stance","W","L","D","Belt"
"2","Tom","Aaron","","--","155 lbs.","--","",5,3,0,NA
"3","Danny","Abbadi","The Assassin","5' 11""","155 lbs.","--","Orthodox",4,6,0,NA
"4","David","Abbott","Tank","6' 0""","265 lbs.","--","Switch",10,15,0,NA
"5","Shamil","Abdurakhimov","Abrek","6' 3""","235 lbs.","76.0""","Orthodox",20,5,0,NA
"6","Hiroyuki","Abe","Abe Ani","5' 6""","145 lbs.","--","Orthodox",8,15,3,NA
"7","Daichi","Abe","","5' 11""","170 lbs.","71.0""","Orthodox",6,2,0,NA
"8","Papy","Abedi","Makambo","5' 11""","185 lbs.","--","Southpaw",10,4,0,NA
"9","Ricardo","Abreu","Demente","5' 11""","185 lbs.","--","Orthodox",5,1,0,NA
"10","Klidson","Abreu","White Bear","6' 0""","205 lbs.","74.0""","Orthodox",15,4,0,NA
"11","Daniel","Acacio","","5' 8""","180 lbs.","--","Orthodox",30,18,0,NA
"12","Scott","Adams","","6' 0""","225 lbs.","--","Southpaw",8,1,0,NA
"13","Juan","Adams","The Kraken","6' 5""","265 lbs.","80.0""","Orthodox",5,3,0,NA
"14","Anthony","Adams","Sugafoot","6' 1""","185 lbs.","76.0""","Orthodox",8,2,0,NA
"15","Zarrukh","Adashev","The Lion","5' 5""","125 lbs.","65.0""","Southpaw",3,3,0,NA
"16","Israel","Adesanya","The Last Stylebender","6' 4""","185 lbs.","80.0""","Switch",20,1,0,NA
"17","Sam","Adkins","The Experience","6' 3""","225 lbs.","--","Orthodox",7,20,2,NA
"18","Nick","Agallar","","5' 8""","155 lbs.","--","Orthodox",24,6,0,NA
"19","Mariya","Agapova","","5' 6""","125 lbs.","68.0""","Southpaw",9,2,0,NA
"20","Marcelo","Aguiar","","5' 10""","170 lbs.","--","Orthodox",2,3,1,NA
"21","Fabio","Aguiar","","6' 0""","185 lbs.","--","",17,1,0,NA
"22","Edwin","Aguilar","Tigre","5' 10""","185 lbs.","--","",26,19,0,NA
"23","Jessica","Aguilar","Jag","5' 3""","115 lbs.","63.0""","Orthodox",20,8,0,NA
"24","Kevin","Aguilar","Angel of Death","5' 7""","155 lbs.","73.0""","Orthodox",17,4,0,NA
"25","Christian","Aguilera","The Beast","5' 9""","170 lbs.","72.0""","Switch",14,7,0,NA
"26","Mike","Aina","Iron","5' 9""","155 lbs.","--","Orthodox",14,6,1,NA
"27","Hitomi","Akano","Girlfight Monster","5' 4""","135 lbs.","--","Southpaw",18,10,0,NA
"28","Omari","Akhmedov","Wolverine","6' 0""","185 lbs.","73.0""","Orthodox",21,5,1,NA
"29","Yoshihiro","Akiyama","","5' 10""","170 lbs.","75.0""","Orthodox",14,6,0,NA
"30","Rostem","Akman","","5' 10""","170 lbs.","72.0""","Switch",6,2,0,NA
"31","Razak","Al-Hassan","","6' 2""","205 lbs.","--","Orthodox",13,5,0,NA
"32","Mostapha","Al-Turk","","6' 2""","245 lbs.","77.0""","Orthodox",6,6,0,NA
"33","Herdem","Alacabek","","6' 2""","205 lbs.","75.0""","Orthodox",5,1,0,NA
"34","Javi","Alanis","","5' 6""","135 lbs.","--","",0,4,0,NA
"35","Heili","Alateng","The Mongolian Knight","5' 5""","135 lbs.","66.0""","Orthodox",14,8,1,NA
"36","Amir","Albazi","The Prince","5' 5""","125 lbs.","68.0""","Orthodox",14,1,0,NA
"37","Brett","Albee","","--","225 lbs.","--","",3,2,0,NA
"38","John","Albert","Prince","5' 8""","135 lbs.","68.0""","Orthodox",6,5,0,NA
"39","Junior","Albini","Baby","6' 3""","264 lbs.","74.0""","Orthodox",14,6,0,NA
"40","Wes","Albritton","","5' 10""","188 lbs.","--","Orthodox",0,1,0,NA
"41","Aleksandra","Albu","Stitch","5' 2""","115 lbs.","63.0""","Orthodox",3,2,0,NA
"42","Israel","Albuquerque","","--","185 lbs.","--","Orthodox",0,3,0,NA
"43","Juan","Alcain","","--","--","--","",1,2,0,NA
"44","Iuri","Alcantara","Marajo","5' 9""","135 lbs.","71.0""","Southpaw",35,10,0,NA
"45","Ildemar","Alcantara","Marajo","6' 2""","185 lbs.","78.0""","Orthodox",21,11,0,NA
"46","Alfonso","Alcarez","","5' 3""","145 lbs.","--","",1,3,1,NA
"47","Gilbert","Aldana","El Peligro","6' 1""","250 lbs.","--","Orthodox",6,2,0,NA
"48","Irene","Aldana","","5' 9""","135 lbs.","68.0""","Orthodox",12,6,0,NA
"49","Hector","Aldana","","5' 11""","170 lbs.","72.0""","Orthodox",4,3,0,NA
"50","Jose","Aldo","","5' 7""","135 lbs.","70.0""","Orthodox",29,7,0,NA
"51","JJ","Aldrich","","5' 5""","125 lbs.","67.0""","Southpaw",8,4,0,NA
"52","Jim","Alers","The Beast","5' 9""","145 lbs.","71.0""","Orthodox",13,3,0,NA
"53","John","Alessio","The Natural","5' 10""","155 lbs.","72.0""","Orthodox",35,17,0,NA
"54","Houston","Alexander","The Assassin","6' 0""","205 lbs.","72.0""","Orthodox",17,15,1,NA
"55","Kenneth","Alexander","The Machine","5' 9""","155 lbs.","--","Orthodox",7,6,0,NA
"56","Marcio","Alexandre Junior","Lyoto","6' 0""","185 lbs.","75.0""","Southpaw",17,4,0,NA
"57","Olaf","Alfonso","","6' 2""","170 lbs.","--","Orthodox",8,12,0,NA
"58","Pablo","Alfonso","The Hurricane","5' 8""","145 lbs.","--","",9,7,0,NA
"59","Levi","Alford","","--","--","--","",1,7,0,NA
"60","Bill","Algeo","Senor Perfecto","6' 0""","145 lbs.","73.0""","Switch",14,5,0,NA
"61","Royce","Alger","","5' 10""","199 lbs.","--","Orthodox",3,2,0,NA
"62","Amir","Aliakbari","","6' 3""","250 lbs.","--","",10,1,0,NA
"63","Sultan","Aliev","","5' 11""","170 lbs.","74.0""","Orthodox",15,3,0,NA
"64","John","Allan","","6' 1""","205 lbs.","75.0""","Orthodox",13,6,0,NA
"65","George","Allen","","6' 2""","205 lbs.","--","Open Stance",13,19,2,NA
"66","Arnold","Allen","Almighty","5' 8""","145 lbs.","70.0""","Southpaw",16,1,0,NA
"67","Brendan","Allen","All In","6' 2""","185 lbs.","75.0""","Orthodox",15,4,0,NA
"68","Ben","Alloway","Blanco","5' 11""","170 lbs.","76.0""","Orthodox",18,8,0,NA
"69","Ricardo","Almeida","Big Dog","6' 0""","170 lbs.","74.0""","Orthodox",13,5,0,NA
"70","Magno","Almeida","","6' 0""","155 lbs.","--","",10,3,0,NA
"71","Thomas","Almeida","Thominhas","5' 7""","145 lbs.","70.0""","Southpaw",22,4,0,NA
"72","Ericka","Almeida","","5' 6""","115 lbs.","--","Orthodox",7,3,0,NA
"73","Estefani","Almeida","","5' 4""","125 lbs.","--","Orthodox",7,3,0,NA
"74","Mauricio","Alonso","","6' 2""","170 lbs.","--","",13,7,0,NA
"75","Sarah","Alpar","Too Sweet","5' 4""","135 lbs.","63.0""","Southpaw",9,5,0,NA
